FID;id;kkorgnr;enhedsnavn;forvaltning;centernavn;enhedstype;ejerforhold;distrikt;koerorgnr;remedybetaler;ean;cvr;se;opusnavn;losorg;losnavn;adm_enheds_id;pnummer;telefon;mail;facebook;www;vejadresseringsnavn;vejnavn;postnummer;bynavn;husnummer;etage;doerbetegnelse;adresse;nordlig;oestlig;giskoory;giskoorx;vejkode;kommunenavn;kommunekode;postboks;skoledistrikt;socialdistrikt;politidistrikt;postdistrikt;bydelnavn;rodenr;rodenavn;lokaludvalgnr;lokaludvalgnavn;locationuuid;type;alias;primaer;hemmelige;offentlig;lokationsnr;enhedsnr;cvr_branchekode;link_kkorg;ogc_fid;wkb_geometry
kkorg_enheder_offentlig.11;1576;2223;Pumpestationen;BUF;Fagligt Center;Fritids- og ungdomsklubber;Selvejende;Indre By-Østerbro;35719;35719;;34744254;34744254;;357199999;Fritid og Unge;1025478;1026455061;42604545;35719@buf.kk.dk;;http://www.pumpestationen.dk;Kastelsvej 60;Kastelsvej;2100;København Ø;60;;;Kastelsvej 60, 2100 København Ø;125.879.554;556.959.993;6178080.85;725472.53;3596;København;101;;Langelinieskolen;City-Østerbro;;København Ø;Indre by;64;Mandals;2;Indre By;9bff91b3-9ac4-45f6-acc4-9f22eaa64bd7;Fritidscenter, Fritidsklub;;NEJ;No;JA;L396;U742;889160;https://kkorg.kk.dk/tree-unit/5ba3c71d76989e0e080050cb;11;MULTIPOINT ((12.587955379421333 55.69599931009791))
kkorg_enheder_offentlig.12;1701;4497;Klinikgruppe 3;BUF;Fagligt Center;Praktiserende tandlæger;Kommunal;Forvaltning - område/kontor;38910;38910;5,79801E+12;64942212;82601015;;389107123;Børne- og Ungdomstandplejen;1023982;1003254350;33663366;;;https://www.tandplejen.kk.dk/;Saxogade 61;Saxogade;1662;København V;61;2;;Saxogade 61, 1662 København V;125.512.065;556.696.372;6175030.08;723314.54;6288;København;101;;Oehlenschlægersgades Skole;Valby-Vesterbro-Kgs. Enghave;;København V;Vesterbro-Kongens Enghave;172;Absalons;5;Vesterbro;78628c83-b5ef-45d1-9fbc-61d3f2977e68;Offentlig administration, Tandpleje;;JA;No;JA;L3533;U524;862300;https://kkorg.kk.dk/tree-unit/5ba3c71976989e06380003cf;12;MULTIPOINT ((12.551206527550999 55.66963721806471))
kkorg_enheder_offentlig.13;1537;336;Center for Autisme og Specialpædagogik DAE;SOF;Borgercenter Handicap;Administration af sundhedsvæsen, undervisning, kultur og sociale forhold undtagen social sikring;Kommunal;Indre By;64792;64792;5,79801E+12;64942212;55072817;Center for autisme og specialpæd. DAE;647927922;BCH CAS;868569;1025133338;33663366;;;;Borups Allé 43;Borups Allé;2200;København N;43;;;Borups Allé 43, 2200 København N;125.367.694;556.921.724;6177489.9;722279.16;760;København;101;;Nørrebro Park Skole;Nørrebro;;København N;Nørrebro;145;Høsterkøbgades;4;Nørrebro;a1fafc22-4b50-4732-9545-c42c8acbb78a;Handicaptilbud;;JA;No;JA;L2437;U2805;841200;https://kkorg.kk.dk/tree-unit/5ba3c73f76989e12d8005e05;13;MULTIPOINT ((12.536769411861298 55.692172389228034))
kkorg_enheder_offentlig.14;1439;4255;Captum Vækstpunktet;SOF;Borgercenter Handicap;Dagcentre mv.;Kommunal;Amager Øst;64291;64291;5,79801E+12;64942212;55072817;;641941943;BCH CSB;1018646;1012950663;33663366;;;;Løvstikkevej 69;Løvstikkevej;2300;København S;69;;;Løvstikkevej 69, 2300 København S;126.074.287;556.492.848;6172949.22;726966.16;8817;København;101;;Dyvekeskolen;Amager;;København S;Amager Vest;352;Thingvalla;12;Amager Vest;0a6b5fe6-4535-45ef-9f23-b1c306290f41;Handicaptilbud;;JA;No;JA;L2675;U2919;881020;https://kkorg.kk.dk/tree-unit/5ba3c74176989e12c8000ff1;14;MULTIPOINT ((12.607428743134719 55.649284874611645))
kkorg_enheder_offentlig.15;1522;5490;Lynghuset st., 1 og 2;SOF;Borgercenter Handicap;Døgninstitutioner for personer med fysisk handicap;Kommunal;Amager Vest;64136;64136;5,79801E+12;64942212;55072817;;5490;BCH COS;1035579;1007514456;33663366;;;;Provstevej 4;Provstevej;2400;København NV;4;;;Provstevej 4, 2400 København NV;125.276.021;557.053.279;6178923.63;721628.77;5628;København;101;;Grøndalsvængets Skole;Bispebjerg;;København NV;Bispebjerg;298;Theklavejs;10;Bispebjerg;85d1039d-46ed-4cf1-acc5-657adb47fc17;Handicaptilbud;;JA;No;JA;L3354;U2681;873010;https://kkorg.kk.dk/tree-unit/5ba3c73d76989e12d8005b1d;15;MULTIPOINT ((12.527602100388782 55.70532794786973))
kkorg_enheder_offentlig.16;536;1929;Specialfritidsinstitution ved Skolen i Charlottegården;BUF;Område Nørrebro/Bispebjerg;Skolefritidsordninger og fritidshjem;Kommunal;Nørrebro-Bispebjerg;37637;37637;5,79801E+12;64942212;82601015;Specialfritidsinst. Skolen i Charlotteg;376372960;;819232;1013749376;35361306;chakkfo@kk.dk;;https://cha.aula.dk;Frederikssundsvej 77;Frederikssundsvej;2400;København NV;77;;;Frederikssundsvej 77, 2400 København NV;125.258.207;557.045.928;6178836.18;721521.06;1964;København;101;;Grøndalsvængets Skole;Bispebjerg;;København NV;Bispebjerg;289;Stærevejs;10;Bispebjerg;ec00cf2c-5ed7-4a71-9238-076f4e500c64;Borgerhenvendelse, Fritidsinstitution, KKFO, Specialinstitution;;JA;No;JA;L3521;U467;889140;https://kkorg.kk.dk/tree-unit/5ba3c71876989e0638000279;16;MULTIPOINT ((12.525820650748667 55.70459284956634))
kkorg_enheder_offentlig.17;1153;3265;Børnehuset Emdrup/Søgård;BUF;Område Nørrebro/Bispebjerg;Aldersintegrerede institutioner;Kommunal;Nørrebro-Bispebjerg;37278;37278;5,79801E+12;64942212;82601015;;372782780;Nørrebro/Bispebjerg Klynge G;890475;1018088300;24599574;37278@buf.kk.dk;;https://emdrupsoegaard-kk.aula.dk;Keldsøvej 15;Keldsøvej;2100;København Ø;15;;;Keldsøvej 15, 2100 København Ø;125.496.335;557.171.059;6180304.19;722945.16;3624;København;101;;Lundehusskolen;Bispebjerg;;København Ø;Bispebjerg;319;Emdrup Vænges;10;Bispebjerg;4d530a0b-1560-4b2e-a47a-ee1c1625afee;Aldersintegreret institution, Børnehave, Daginstitution, Vuggestue;;NEJ;No;JA;L2396;U348;889150;https://kkorg.kk.dk/tree-unit/5ba3c71676989e13ec002f5f;17;MULTIPOINT ((12.54963352132631 55.717105943960405))
kkorg_enheder_offentlig.18;965;4644;Fritid, Unge og Analyse;BUF;Fagligt Center;Hjælpeydelser i forbindelse med undervisning;Kommunal;Forvaltning - område/kontor;38500;38500;5,79801E+12;64942212;82601015;;385006080;;803688;1018213482;;;;;Gyldenløvesgade 15;Gyldenløvesgade;1600;København V;15;;;Gyldenløvesgade 15, 1600 København V;125.622.114;556.800.483;6176223.43;723946.72;2452;København;101;;Den Classenske Legatskole;City-Østerbro;;København V;Indre by;49;Nyrops;2;Indre By;3b218485-ed04-47cc-bc06-95a8f0ff9aa4;Centerkontor, Offentlig administration;;JA;No;JA;L136;U547;856000;https://kkorg.kk.dk/tree-unit/5ba3c71a76989e0638000459;18;MULTIPOINT ((12.562211386012605 55.68004828128575))
kkorg_enheder_offentlig.19;600;5283;Fritidsinstitutionen ved Damhusengens Skole/Engen;BUF;Område Brønshøj/Vanløse;Skolefritidsordninger og fritidshjem;Kommunal;Brønshøj-Vanløse;37842;37842;5,79801E+12;64942212;82601015;Fritidsinst. ved Damhusengens Skole;5283;;1031674;1021654740;23842179;37842@buf.kk.dk;;https://damhusengensskole.aula.dk;Ålekistevej 95;Ålekistevej;2720;Vanløse;95;st;;Ålekistevej 95, 2720 Vanløse;124.830.977;556.843.306;6176446.94;718951.37;8672;København;101;;Damhusengens Skole;Brønshøj-Husum-Vanløse;;Vanløse;Vanløse;238;Åbjerg;8;Vanløse;a8b07bc2-6315-4625-b34f-721bd6011524;Fritidsinstitution, KKFO;;NEJ;No;JA;L2448;U910;889140;https://kkorg.kk.dk/tree-unit/5ba3c72076989e1360003d1b;19;MULTIPOINT ((12.483097677693127 55.68433062603469))
kkorg_enheder_offentlig.20;1595;2290;De Syv Have;BUF;Område Brønshøj/Vanløse;Aldersintegrerede institutioner;Kommunal;Brønshøj-Vanløse;37344;37344;5,79801E+12;64942212;82601015;;373443440;Brønshøj/Vanløse Klynge A;750211;1017858072;30515597;37344@buf.kk.dk;;https://desyvhave-kk.aula.dk;Gerlevvej 3;Gerlevvej;2700;Brønshøj;3;;;Gerlevvej 3, 2700 Brønshøj;12.473.834;557.103.616;6179312.81;718224.13;2184;København;101;;Korsager Skole;Brønshøj-Husum-Vanløse;;Brønshøj;Brønshøj-Husum;259;Bjergstedvejs;9;Brønshøj-Husum ;10fd3cb5-8918-42e5-9426-b2175f6d2236;Aldersintegreret institution, Borgerhenvendelse, Børnehave, Daginstitution, Vuggestue;;JA;No;JA;L3706;U887;889150;https://kkorg.kk.dk/tree-unit/5ba3c72076989e1360003c91;20;MULTIPOINT ((12.473834036006862 55.71036162545895))
kkorg_enheder_offentlig.21;36;5713;STU;BUF;Fagligt Center;Specialskoler for handicappede;Kommunal;Forvaltning - område/kontor;31506;31506;5,79801E+12;64942212;82601015;;5713;;1038929;1003254842;82561100;csv@kk.dk;;https://www.csv.kk.dk/;Frankrigsgade 4;Frankrigsgade;2300;København S;4;;;Frankrigsgade 4, 2300 København S;126.058.986;5.566.063;6174205.92;726804.29;1896;København;101;;Skolen på Amagerbro;Amager;;København S;Amager Øst;361;Lyons;11;Amager Øst;bb6ae4fc-d461-4f9a-8b61-2307520417a6;Uddannelsescenter;;NEJ;No;JA;L2423;U555;852020;https://kkorg.kk.dk/tree-unit/5ba3c71a76989e0638000489;21;MULTIPOINT ((12.605898647557217 55.660630056321146))
kkorg_enheder_offentlig.22;1242;260;Østerbrohuset;KFF;Center for Kultur- og Fritidsaktiviteter;Drift af teater- og koncertsale, kulturhuse mv.;Kommunal;;51312;51312;5,79801E+12;64942212;21318809;;513121730;KFF Kultur Østerbro;853940;1002899271;82205087;bookoesterbro@kff.kk.dk;https://www.facebook.com/%C3%98sterbrohuset-1390266034533034/;https://kulturogfritidoe.kk.dk/oesterbrohuset;Århusgade 103;Århusgade;2100;København Ø;103;;;Århusgade 103, 2100 København Ø;125.879.113;557.074.932;6179358.97;725403.55;8696;København;101;;Vibenshus Skole;City-Østerbro;;København Ø;Østerbro;83;Struergades;3;Østerbro;b62d8cb4-12cb-4e97-9ba1-6b4a5b605f36;Idrætsanlæg, Kulturhus;;JA;No;JA;L2875;U1323;900400;https://kkorg.kk.dk/tree-unit/5ba3c72776989e11b8005099;22;MULTIPOINT ((12.587911329555208 55.70749322466339))
kkorg_enheder_offentlig.23;1082;173;Sundbyøster Skole;BUF;Område Amager;Folkeskoler o.lign.;Kommunal;Amager;31182;31182;5,79801E+12;64942212;82601015;;311820000;;800424;1003255655;33665130;sundbyoesterskole@kk.dk;;https://sundbyoesterskole.aula.dk;Smyrnavej 5;Smyrnavej;2300;København S;5;;;Smyrnavej 5, 2300 København S;126.138.472;556.514.495;6173210.98;727357.24;6640;København;101;;Sundbyøster Skole;Amager;;København S;Amager Øst;381;Smyrnas;11;Amager Øst;1baf4847-e9d7-460b-9b42-b22c6e078509;Borgerhenvendelse, Distriktsskole;;JA;No;JA;L1313;U75;852010;https://kkorg.kk.dk/tree-unit/5ba3c71276989e11dc004349;23;MULTIPOINT ((12.613847224403203 55.651449529447156))
kkorg_enheder_offentlig.24;937;3408;Helgoland Badeanstalt;KFF;Center for Kultur- og Fritidsaktiviteter;Andre forlystelser og fritidsaktiviteter;Kommunal;;52111;52111;5,79801E+12;64942212;21318809;;521115010;KFF Ejendomsd og S;855424;1002991795;33663370;;https://www.facebook.com/Helgolandbadeanstalt;https://svoemkbh.kk.dk/helgoland-soebadeanstalt;Øresundsstien 11;Øresundsstien;2300;København S;11;;;Øresundsstien 11, 2300 København S;126.400.878;556.637.001;6174659.72;728935.74;8546;København;101;;Lergravsparkens Skole;Amager;;København S;Amager Øst;376;Milanos;11;Amager Øst;cbe59064-55f3-4c4a-920c-4ba884c486da;Badeanstalt;;JA;No;JA;L1261;U1369;932990;https://kkorg.kk.dk/tree-unit/5ba3c72776989e11b80051ad;24;MULTIPOINT ((12.640087802096344 55.66370017023146))
kkorg_enheder_offentlig.25;1579;6783;Kommunikation og Presse;BUF;Center for Politik og HR;Administration af og bidrag til erhvervsfremme;Kommunal;Forvaltning - område/kontor;;;5,79801E+12;64942212;82601015;;6783;;1066763;1018572903;;;;;Rådhuspladsen 1;Rådhuspladsen;1550;København V;1;;;Rådhuspladsen 1, 1550 København V;125.695.777;556.756.275;6175755.61;724434.93;6152;København;101;;Den Classenske Legatskole;City-Østerbro;;København V;Indre by;46;Tivolis;2;Indre By;22796bba-ca22-4abb-8502-064940c3f534;Centerkontor, Offentlig administration;;JA;No;JA;L5457;U4215;841300;https://kkorg.kk.dk/tree-unit/6481b16611770000980026dd;25;MULTIPOINT ((12.569577674940978 55.67562753216039))
kkorg_enheder_offentlig.26;210;2132;Saxoly Børnehus;BUF;Område Valby/Vesterbro/Kgs. Enghave;Skolefritidsordninger og fritidshjem;Selvejende;Valby-Vesterbro-Kgs. Enghave;35433;35433;;43395718;43395718;;354339999;Valby/Vesterbro/Kgs. Enghave Klynge 2;1025558;1021891777;20198981;35433@buf.kk.dk;;https://saxolyboernehus-kk.aula.dk;Sønder Boulevard 45;Sønder Boulevard;1720;København V;45;;;Sønder Boulevard 45, 1720 København V;125.540.619;556.669.874;6174744.59;723509.13;7288;København;101;;Oehlenschlægersgades Skole;Valby-Vesterbro-Kgs. Enghave;;København V;Vesterbro-Kongens Enghave;178;Sønderboulevards;5;Vesterbro;d9edd593-765a-463d-8027-0172eaca92cf;Aldersintegreret institution, Børnehave, Daginstitution;;NEJ;No;JA;L649;U266;889140;https://kkorg.kk.dk/tree-unit/5ba3c71576989e13ec002d73;26;MULTIPOINT ((12.554061926670293 55.66698743003597))
kkorg_enheder_offentlig.27;285;4946;Smørhullet;BUF;Område Indre By/Østerbro;Vuggestuer;Selvejende;Indre By-Østerbro;35241;35241;;36257067;82601015;;352419999;Indre By/Østerbro Netværk 5;1027641;1020226680;39293049;35241@buf.kk.dk;;https://smoerhulletvuggestue-kk.aula.dk/;Fanøgade 21;Fanøgade;2100;København Ø;21;;;Fanøgade 21, 2100 København Ø;125.728.754;557.114.227;6179747.17;724436.85;1720;København;101;;Strandvejsskolen;City-Østerbro;;København Ø;Østerbro;91;Romsøgades;3;Østerbro;2c08d980-5cd0-430e-bc93-6f5e03f8b36e;Borgerhenvendelse, Daginstitution, Vuggestue;;JA;No;JA;L248;U640;889120;https://kkorg.kk.dk/tree-unit/5ba3c71b76989e0638000687;27;MULTIPOINT ((12.5728753725851 55.71142269440042))
kkorg_enheder_offentlig.28;232;2142;Børnehuset Bavnehøj;BUF;Område Valby/Vesterbro/Kgs. Enghave;Aldersintegrerede institutioner;Selvejende;Valby-Vesterbro-Kgs. Enghave;35589;35589;;61023410;82601015;;355899999;Valby/Vesterbro/Kgs. Enghave Netværk 3;1025543;1003138300;33663801;35589@buf.kk.dk;;https://boernehusetbavnehoej-kk.aula.dk;Tranehavevej 15;Tranehavevej;2450;København SV;15;;;Tranehavevej 15, 2450 København SV;125.344.752;556.572.929;6173603.45;722332.91;7616;København;101;;Bavnehøj Skole;Valby-Vesterbro-Kgs. Enghave;;København SV;Vesterbro-Kongens Enghave;206;Ernst Kapers;6;Kongens Enghave;8f28cc83-a8fc-4047-ad3a-785317e6d4ab;Aldersintegreret institution, Borgerhenvendelse, Børnehave, Daginstitution, Vuggestue;;JA;No;JA;L510;U272;889150;https://kkorg.kk.dk/tree-unit/5ba3c71576989e13ec002d97;28;MULTIPOINT ((12.534475154932913 55.657292908530756))
kkorg_enheder_offentlig.29;427;1798;Sofiegårdens Vuggestue;BUF;Område Indre By/Østerbro;Vuggestuer;Selvejende;Indre By-Østerbro;35258;35258;;38136410;82601015;;352589999;Indre By/Østerbro Netværk 3;1025761;1003056141;32548855;35258@buf.kk.dk;;https://sofiegaardensvuggestue-kk.aula.dk/;Overgaden Oven Vandet 32B;Overgaden Oven Vandet;1415;København K;32B;;;Overgaden Oven Vandet 32B, 1415 København K;125.900.732;556.716.781;6175382.94;725745.72;5368;København;101;;Christianshavns Skole;City-Østerbro;;København K;Indre by;39;Skydeskolens;1;Christianshavn;0baff31f-9415-4a3a-bec5-b4d1449214bf;Borgerhenvendelse, Daginstitution, Vuggestue;;JA;No;JA;L3103;U695;889120;https://kkorg.kk.dk/tree-unit/5ba3c71c76989e0e08004fb1;29;MULTIPOINT ((12.590073239036254 55.67167814288457))
kkorg_enheder_offentlig.30;231;3960;LilleArena;BUF;Område Amager;Aldersintegrerede institutioner;Kommunal;Amager;37659;37659;5,79801E+12;64942212;82601015;;376596590;Amager Klynge I;1015502;1019363828;33661500;lillearena@buf.kk.dk;;https://lillearena-kk.aula.dk;Robert Jacobsens Vej 4;Robert Jacobsens Vej;2300;København S;4;;;Robert Jacobsens Vej 4, 2300 København S;125.749.921;556.239.782;6170029.12;725071.48;5894;København;101;;Distrikt Ørestad;Amager;;København S;Amager Vest;391;Mejlgårdens;12;Amager Vest;a3d7e92e-3298-451a-bed7-386667266841;Aldersintegreret institution, Borgerhenvendelse, Børnehave, Daginstitution, Vuggestue;;JA;No;JA;L2799;U13;889150;https://kkorg.kk.dk/tree-unit/5ba3c71176989e127c0022e0;30;MULTIPOINT ((12.574992092516226 55.62397820420203))
kkorg_enheder_offentlig.31;1081;174;Skolen ved Sundet;BUF;Område Amager;Folkeskoler o.lign.;Kommunal;Amager;31183;31183;5,79801E+12;64942212;82601015;;311830000;;800426;1003255382;21636813;svs@kk.dk;;https://svs.aula.dk;Uralvej 1;Uralvej;2300;København S;1;;;Uralvej 1, 2300 København S;126.273.465;556.523.815;6173358.97;728200.68;7864;København;101;;Skolen ved Sundet;Amager;;København S;Amager Øst;388;Backers;11;Amager Øst;b5590962-d96f-4763-bf0f-d85375b8b6f3;Borgerhenvendelse, Distriktsskole;;JA;No;JA;L447;U30;852010;https://kkorg.kk.dk/tree-unit/5ba3c71176989e127c002346;31;MULTIPOINT ((12.627346493665932 55.65238149554595))
